,4828
里少,2
太仓,3
不论是,1
七,2
淋浴房,21
上床,2
太空,1
措施,4
618,3
小,281
螨虫,1
没人会,1
大半天,1
痕迹,7
刚回,1
供,3
性质,4
大半夜,2
那熏,2
讲过,1
只得,10
大标,1
电路,3
问能,3
多年,9
用心,2
不太近,1
灰色,5
符合要求,1
厨房,18
没人住,3
才,419
一肚子气,5
口吻,1
话题,1
唯一,71
带我去,3
大桥,3
丽悦,1
加收,24
住满,2
还亮,2
省会,2
处有,1
章,3
大肚子,1
洗衣,6
拉杆箱,1
才行,8
水煲,2
无床,1
包房,2
把门,5
赫赫,1
生物,1
非他莫属,2
通电,1
家庭旅馆,2
重點,2
515,1
摄像头,1
516,2
候车厅,1
较,73
626,2
不以为然,1
承德,5
岗位培训,1
時間,2
泡饭,2
瓷,1
Asia,1
小伙子,6
吹风机,5
雨季,2
偏贵,4
小巷子,3
写得,2
栋楼,1
之一,8
之下,7
一连串,3
患者,1
花,21
观念,5
我下,1
大概,27
缸,2
去,700
放弃,1
咱们,3
停用,3
袋泡茶,1
讨论,2
点播,3
隔起来,1
连坐,3
寰岛,1
会馆,2
指望,3
停留,3
豪華,2
住嘉利,1
表态,1
烫伤,1
放归,1
柳,1
麻将,1
霉到,1
想换,1
英语,9
看上,1
鲜榨,2
延时,1
应收,1
现代化,3
桑拿浴,3
男女,6
工作量,1
无故,1
五六个,1
意大利人,2
只不过,2
调试,5
空关,2
小巴,1
危言耸听,1
搂,1
上爬,1
热水器,8
online,1
有阀门,1
按照,40
棉单,1
大楼,8
品种,52
环节,1
成长,1
货不对,1
宁波,3
紧急会议,1
量,2
],1
友好,7
按理,1
水灾,1
解冻,4
很漂亮,5
强烈,30
回见,1
洗漱间,1
前一晚,2
颇为,1
說明,1
配色,2
大面积,1
放心,7
遮羞布,2
心不甘,2
提議,1
劣质,4
228,4
浑,1
嘈杂,14
厕,2
煮食,4
最多,12
西餐,5
海螺,1
延长,2
宰客,5
是非之地,2
示意,2
最大,28
由衷,1
阴冷,2
您提,3
这此,1
飞天,6
白漆,2
旅游,38
最头,1
天明,2
砸,7
美化,2
该换,1
只好,63
政治,3
听见,10
酒鬼,2
入室,1
邯郸,5
修理,16
联系方式,1
宁少,1
招呼客人,2
嘴里,3
一顿饭,1
τ,1
打表硬,2
is,1
路灯,2
拐角处,4
数字电视,3
罢,1
要紧,2
美华,1
多得是,1
这次,95
更换,25
轰鸣,4
想,189
快捷,14
房務員聲,2
没蛋,2
用处,1
最好,44
电话,235
副理,25
无用,1
买菜,1
一块块,4
掺水,1
微笑,7
两间,19
讚,2
朝,7
结账,38
欺害,2
价超,1
ROOM,2
日益,1
消防法,2
打算,21
记住,3
还算,6
3,412
12315,2
上用,4
没洗,12
越来越,15
脏乱差,11
百元,2
嘶叫,2
限制,4
反射,1
嬉笑,2
对面,40
回说,5
赶到,6
看样子,2
如一坊,1
提议,1
相符合,1
火车,23
难民营,1
卡上,2
们,47
昆百,1
這次,1
還聽,1
可能性,2
米饭,3
毛巾架,1
美发,1
点拨,1
150,14
睡不着,19
湖南,1
分光,1
空荡荡,3
过节,2
飘,1
促销价,1
人花,1
吵杂,3
否,1
謝謝,1
哈腰,1
笑脸迎人,1
航空,1
未评,1
围拢,1
眼,4
保卫,4
洗过,2
爆发,3
迟钝,3
放好,2
找钱,2
几部,1
时蔬,2
从事,1
生病,2
赶去,1
看房,2
五口,1
备有,2
违法行为,2
人格,2
混杂,4
有线,4
有过之而无不及,1
急赶,1
恐怕,9
背上,1
转,13
可靠,1
雅加达,2
泡泡浴,1
配制,1
没法,43
聊天,23
三环,1
黄金周,5
柜门,5
谁,46
yi,1
一次性,28
充分,2
必要,13
很脏,50
吸引力,5
便是,2
点才,3
室,1
适逢,2
及其,14
中,90
人力资源部,1
恶偏,1
多好,2
倒个,1
邮政,2
所小得,1
开点,2
店方,6
还长,2
华侨,3
评,12
看报,1
棉被,2
多处,3
大半年,2
领进,1
关他,1
没面子,2
密码,6
篇幅,2
太累,1
多多,6
安宁,4
我用,4
太紧,1
空地,3
柜,4
非但,1
挑剔,3
宜昌市,1
机组,1
吵架,1
西南,2
几遍,3
愿意,24
一个月,7
埋单,2
慎重考虑,4
有史以来,2
白,5
不到之处,1
蹊跷,1
大河,1
晾衣服,1
浴帘拉,1
美味,1
美味可口,2
山东,2
经贸,1
送风,1
并称,1
纯属,1
说话,27
榻榻米,2
临安,4
北虹路,1
山上,2
香格里拉酒店,3
爱住,2
连到,1
立交桥,6
一气之下,2
区别,13
态度恶劣,15
连刷,3
关林庙,1
沙滩,5
门窗,3
大食厅,1
太细,1
住房价格,1
要命,27
琼,1
男,13
逻辑关系,1
从没,11
腊,1
躲过,2
一壶水,1
涵江区,1
亲眼看见,1
楚,2
lady,1
到汉庭,2
三点,10
药水,2
马马乎乎,2
美元,2
鼻屎,1
吃得饱,2
听说,20
钱订,1
丢下,1
呻吟声,1
咸亨,1
大水,1
梅雨季节,1
刷卡,52
當時,4
经营,6
管是,1
争取,3
很舊,1
难怪,8
双人床,3
五台山,2
牛叉,1
电视,81
位费,2
惊魂,1
具备,5
地脚线,1
大气,2
动,5
恶差,4
极端,8
罢休,3
一月份,1
后车站,1
本想,3
现金,26
透进来,1
洞洞,1
望江,1
绕路,2
激活,2
满难,2
一项,1
积雪,1
psp,1
靠背,3
一顿,3
扑杀,1
珍惜,4
坐车去,2
充其,1
大汉,1
白水,1
闻到,4
932,2
店有,2
税,1
作风,2
次电,1
溝往,1
朦胧,2
观察,3
your,2
斩到,1
鼠,1
罢了,8
请勿打扰,6
其他人,10
唰,1
取用,2
国民党,1
腐烂,1
刷预,1
快到,2
取电,1
精美,2
物品,31
不高,28
不大好,2
热情,40
五十多岁,1
恶劣,37
日用,2
拉,23
天数,2
聊,4
往里,2
坐,31
里头,2
嘲杂,2
湖,3
太無理,2
胡脸,1
有别于,1
大箱子,4
无德之辈,2
新华书店,2
呵呵,15
牯岭,1
零下,1
入境,2
指挥,1
空调机,1
少妇,1
并,145
见缝插针,1
多家,1
冲击钻,1
相当于,1
想来,4
600,3
十多岁,2
激烈,2
旁邊,1
1200,1
怪味,15
手去,2
好不容易,13
保准,1
被盗,4
聚会,1
烟缸,1
呆立,2
构成,2
炒河粉,1
纯生,1
三天,16
客观,18
推三阻四,2
民族服装,1
知识,1
送饭,2
偏要,1
时用,1
景区,7
告知,118
you,5
從,4
大洋,3
无可奈何,3
卷帘,1
大海,4
文化,3
赔礼,1
贴切,1
包月,2
秦皇岛,1
拖拉,3
游荡,1
济源,2
460,1
送餐,16
8418,1
橱柜门,1
拖拖,1
晚娘,1
锻炼,3
写字,1
妹妹,3
莱茵,2
秤,1
爱人,4
万多元,1
获悉,2
春运,1
二日,1
也就是说,7
地铁,23
爬山,1
寸,7
长久,2
连句,2
鲜橙多,4
　,50
跟进,1
眼线,1
那次,1
把手,1
千万,56
可言,4
身子,1
爱理不理,10
财大气粗,2
俾睨,1
悬挂,2
数分钟,2
很难说,1
经验,7
庐林,1
雖大,1
接待,55
爬,20
随随便便,1
砰,1
老实,2
整面,2
车声,5
所订,2
拍照,2
各位,48
长出,1
花得,1
衷心感谢,3
very,1
后勤,1
一睡,1
濕,1
花径,1
表面,4
感兴趣,1
打来,4
大狗,2
换,206
总店,2
匹配,2
网站,27
等声,1
烫,5
盯,5
骗人,8
对话,1
金鼎要,1
开浴,1
尘土飞扬,1
会花,1
滿,2
吃,186
未算,1
的,10496
有损,4
自家,1
较远,2
降温,4
打架,2
五个,2
莫高窟,1
圆圈,2
库房,1
确,2
捣乱,1
惟一,1
顺利,10
地答,1
盘中,2
TANG,1
事才,1
反应,30
礼者,1
样子,34
旁边,60
雨天,1
蠻,2
荒凉,1
五一,5
丹东,5
说道,1
臭,16
珀宁,1
總會,1
果真,2
并未,7
钓到,1
流行,1
第三个,1
剥落,7
张新,1
风格,9
卡刷,2
门面,6
上楼,11
蜡黄,1
派人来,1
注,3
赶上,6
手里,7
工作效率,2
声,17
停满,2
象鼻山,1
专业化,1
..........,1
后厨,1
当场,5
禮貌,5
调配,2
值钱,2
当地,46
安全套,1
果盘,8
网管,2
put,1
大小便,1
机房,3
干净,140
美丽,4
卡号,2
没点,1
宴會,2
各个,4
制度,2
处在,2
瘫痪,1
个,285
友谊路,1
之名,1
据理力争,7
墙纸,12
无可非议,1
苹果,2
开水,5
款式,1
堵车,3
骚扰,12
便,13
收条,1
委屈,1
低沉,2
清蒸,1
数错,1
拍,11
隔音,156
愧对,2
回传,2
的话,95
往返,2
外出,11
富春江,2
其它,36
同层,2
同屋,2
刺激性,1
手提电脑,2
弊短,1
多一些,1
SB,2
双脚,1
其实,67
机打,1
送,69
有托,1
协助,5
多花点,2
言出必行,1
马可波罗,1
干充,2
打得通,1
這條,1
空气质量,3
一定,90
喘,1
车夫,1
太慢,10
一客,2
啼笑皆非,1
盆浴,4
一室,2
争辨,1
清净剂,2
stayed,3
维景,8
漱口,2
一家,105
两套,1
尽量,10
洁白,1
一宿,2
电话声,1
长流水,1
想租,1
外标,2
廊,1
没灯,2
上桌,3
货车,2
浓,4
豪生,5
返,1
坐上去,4
预留,3
兴建,2
家乐福,1
a,5
西路,1
作息时间,1
有房,4
问讯处,1
3115,2
躲避,2
喊叫声,1
沐浴液,4
良好,5
跟踪,4
长假,2
一对,2
下不去,6
撤餐,1
至多,2
一堆,7
什么,355
大点,2
哗哗,1
知名度,2
楼换,2
化,3
睡懒觉,2
变得,4
双标间,1
文件,5
停水,4
漫不经心,1
事情,72
床头,10
登封,2
咯,6
呆板,1
回用,1
连个,3
换得,2
床太,2
一堵,3
肩膀,4
刚出,1
自备,5
CHECK,14
基本,69
故里,3
煎个,1
病,2
想不起,2
宽容,1
沦落,1
正确率,2
极易,3
更趋,1
一把手,1
室外机,1
明,1
～,23
孔府,1
慢,39
方便使用,2
孔庙,1
俩,1
真想,1
最为,1
实用,2
绳,1
定房,7
无比,12
皇冠,11
杂草丛生,1
电脑部,1
平台,3
锅,1
休息时间,1
粗鲁,1
毁掉,1
亮堂,1
一塌糊涂,16
深夜,7
内心,1
物业公司,1
转角,1
玩吧,2
波斯特,2
另一家,2
比较简单,2
推不开,1
能够,33
破烂不堪,3
會員講,2
悲愤,1
十堰,1
7,165
臥室,4
拉肠,1
门锁,9
上次,17
单人床,7
手,4
背,6
导游,5
问题,248
右及,2
1512,2
伤人,1
有意,3
大灯,4
盘,1
六及,2
大火,1
街面,1
繁荣,1
老人,2
举国欢庆,1
变形,1
极尽,2
老夫子,1
指纹,1
同志,8
一声,8
功课,1
一壶,1
今天,20
筷子,1
武义,1
文中,1
這樣,6
是因为,23
现如今,1
狭窄,1
HOTEL,1
甘水味,1
一处,4
宣传,7
后半夜,1
贡献,2
倨傲,1
不言而喻,2
张小床,2
那样,12
一夜,25
浪费,17
不仅仅,5
妻子,1
八佰伴,1
一大,7
开玩笑,1
真真是,1
一天,103
星河,1
喜歡,1
而成,2
欧美,1
展馆,2
桐城,2
紫光,1
运行,1
區,2
遂,2
一头,1
镇江,5
楼房,1
隔间,2
虎,2
脏字,1
主管,12
一套,5
专用车,2
欧洲杯,3
1912,1
宾至如归,6
忽闪,1
不爽快,1
零分,3
加油站,1
告之,2
绕道,3
床直,1
现象,7
产权,1
打搅,2
门铃,5
泡脚,1
纳税人,1
余家,1
哦,20
查查,3
,5031
可要,2
亲切,8
逆向行驶,2
床墊,2
傻眼,1
白灰,1
哗啦,2
温,4
这一看,1
皮,6
无法解释,1
花少,1
目中无人,2
评出来,1
可觉,2
脏东西,1
反差,1
叶君健,2
可见,6
回事儿,1
草草,1
通气,2
孛,4
并愿,2
车子,15
八点半,4
后免,1
电钻,2
水桶,2
秃山,1
失去,3
卖掉,1
监督,5
耐心,8
电钮,1
装上去,1
2.00,1
硬道理,1
淡季,5
厅,1
黑到,2
白眼,1
蒋,1
连住,5
网线,38
接客,1
富蓝特,1
圈圈,1
如此一来,2
无精打采,3
渤海,2
果珍,1
运转,2
定义,1
镜头,2
一带,6
当初,3
工程师,4
转转,2
圆,1
一帮,1
亮度,1
安徽省,2
阅读,1
重音,1
院墙,1
知道,288
呀,27
夫妇,2
同一个,6
健身,4
一幅,1
淑,1
老干部,4
讹人,1
CRRIP,2
招待,2
观音桥,1
1.85,1
烟蒂,1
不周到,1
姊妹,3
一幢,4
三门峡,2
荒唐,2
簾子,1
包间,1
歪,2
网络,40
剩餘空間,2
大盘,2
并排,1
康年,2
中年男人,1
一年,2
夫妻,2
消防系统,1
泻,2
婺源,2
身心,2
转过,3
恶,1
盐瓶,1
供暖,3
天线,2
偌大,1
一床,6
没用,12
生气,13
财物,2
出口,8
另加,1
头上,3
假日酒店,8
要付,1
缝,1
府,1
变天,2
颜色,21
一座,8
坏掉,4
苏州,15
机构,3
喝,25
物体,1
12593,1
不太有,2
火车站,51
真是,122
塞子,1
能开,1
要价,4
人来,11
有条,3
被淹,1
裝修,2
别选,1
成年人,2
空中,1
干吗,6
催促,6
今天下午,1
角落,5
大白,1
事是,2
激起,2
卫星电视,2
霉霉,1
打了个,5
出去,59
没待,2
风水,2
倡导,2
收拾,25
维持,1
未见有人,1
收敛,2
要交,3
样式,3
上海,59
挖土机,1
诸多,1
一廳,2
十年,6
不选靠,1
记忆,1
醒来,1
时竟,1
一开,1
排气口,1
餐券,16
信息,20
怎,8
故障,6
疏忽,5
消掉,1
TMD,3
太早,1
不能,310
自带,8
刚,42
亮得,1
优美环境,1
一张,74
那台,1
服务质量,41
到达,56
实物,1
剪掉,1
本意,1
巨窄,1
晚害,1
挂准,1
结到,1
鸡汤,3
白白,3
耍,3
不肯,20
打扰,5
收据,2
N,11
打扫,53
洲际,8
打扮,2
五颗星,2
上帝,8
惨痛,2
A22,2
放不开,1
怎么回事,9
管理局,2
指示,5
管理层,10
打手,1
杂吵,1
商务部,2
干,10
停止,2
很久没,3
无法,98
下脚,1
维护,9
七百多,2
利害关系,4
轰炸机,3
气状,2
人手不足,2
10000,1
闹房,2
一律,2
内壁,1
旅行者,1
附属,1
价钱,43
洁牙,2
暗喜,2
数量,10
太散,1
算进去,1
打折,9
生活,5
光纤,1
惰,1
今年,5
說,10
就,1166
科技,1
水温,12
定时,3
私人,6
是我太,1
水渠,1
垃圾,33
环境空气,2
不折不扣,1
平湖,2
捏,1
似乎,12
满足,10
可进,1
满是,3
块,44
踢皮球,2
牛羊肉,2
让步,3
皇嘉,2
无,78
彈丸,2
物业,2
仅见,1
第一天,26
尊重,4
线算,1
不怎么样,27
当事,2
转身,10
假日,18
比维景,2
农家乐,2
适中,4
三次,14
随处可见,3
思想斗争,1
一不小心,3
迟迟,2
保险费,1
768,1
内,75
轮胎,1
真实,6
缺氧,2
出入,14
呼呼,2
一小,8
上海浦东,2
洒,1
不好意思,8
錢事,2
爱坏,1
炮店,1
车库,4
$,7
委托,1
相胁,1
免掉,1
王城,1
衡量,2
有时,10
拉萨,8
店大欺客,5
瓶雪碧才,1
破,41
招工,1
有无,2
半米,2
一层,15
就餐,15
而来,1
餐具,19
镜子,3
一屋,2
先结,2
再用,3
查房,28
笔记本电脑,1
二星级,7
刚回来,1
望出去,2
15CM,1
食,2
二十分钟,12
吃个,4
敢,16
設備,3
棕红色,1
协商,2
太暗,2
信任度,1
夜游,1
人少,3
长城,2
愤慨,1
呼吁,1
但是,344
对质,3
琵琶,1
火锅,5
农村,2
水洗,4
直奔,1
整体素质,4
老油条,2
对账,2
有效,7
歌聲,1
给宏裕,2
水淹七军,1
∣,1
压着,2
太晚,11
却说,5
赐教,1
随着,3
弱,2
大理,8
拆除,1
一肚子火,2
条街,1
架,1
重重的,1
杂物间,2
hotels,1
谴责,2
延迟,16
没睡,10
佩服,1
吃亏,1
定为,1
不太敢,2
满身,1
加冕,2
深切体会,1
自己,232
自已,2
干嘛,4
呗,1
两边,2
朝里,1
竞争对手,1
访客,2
水流,6
提醒,33
working,1
两辆,1
三样,2
外部,1
留放,2
内容,8
臺,8
课,1
水沟,1
很爛,4
假期,6
而是,27
至少,21
遭拒,1
其差,2
裸露,5
讓,4
床小,1
桌面上,1
等待,23
直射,1
火车票,3
江西,1
最靠,1
..,24
东山,1
反复,7
外滩,6
垫,10
加入,1
冯,4
频繁,6
Ｐ,1
共鸣,1
从兴坪,1
汉庭,9
记性,1
趴在,3
海鲜,6
辽宁省,2
扰民,1
元住,2
稀奇,1
良心,1
当兵,3
滑,3
定期,2
屋顶,4
冷到,1
務,2
背后,2
这方面,3
期间,66
....,26
递给,2
之前,56
忠告,3
举牌,2
京广,1
水泥,2
步态,1
水泡,1
阁,14
小房间,2
勇气,1
明显,51
取消,52
身体健康,5
无港,1
起毛,1
点多钟,3
牆壁,2
专门,13
依稀,1
优胜,1
说实话,8
语速,1
安全感,8
搪塞,3
急,11
三楼,11
TV,2
车开,2
未配,1
A2,1
堵,8
A4,3
塘沽,2
时断时续,2
身高,1
近二,1
独特,2
调度,1
召开,9
来得及,1
饭凉,1
支持,18
怎知,1
银河,4
桑拿,11
形同虚设,3
欺骗性,2
看准,1
还脏,2
冤透,2
明明,35
吉林省,8
附带,2
乡下,1
南京,9
桌上,2
桌下,1
这点,20
电邮,1
院子,1
太有,2
经理,115
消夏,1
...........,2
怨妇,1
恕我直言,1
我想,1
国内外,5
待,3
一切,14
出手,1
笔录,2
绝迹,1
袋,4
可不,1
整齐,2
恶言相向,1
包烟,2
看重,1
窗,19
外,32
眼皮,2
婉拒,2
先耐着,2
疗养院,1
灵异,2
建行,1
景房,2
令人满意,6
看着,26
树苗,1
有所改进,3
给汉庭,1
軟件,2
做梦,1
风情,1
浴之伴,1
轻重,2
要么,23
败笔,1
开放,4
纳入,2
东北,4
开展,2
当到,1
正是,3
北京大学,1
物价水平,2
床单,94
圈子,4
注意事项,1
当年,2
松动,2
这个,480
还望,1
不足,21
如果说,4
没装,1
筛选,2
大吵一架,1
皇家,11
算来,1
态度,208
看看,42
一副,4
弄污,2
决不再,2
給櫃,1
弱势群体,2
替,3
时速,1
星期,5
荡然无存,1
泥路,1
就是说,8
切,2
十分,39
从此以后,2
特少,1
饭店,87
延至,1
残酷,1
星有,1
缓慢,1
贸然,1
常事,1
入住,903
订,156
交,17
无意,1
喝啤酒,1
很早,1
一分货,3
;,72
虽未,1
感谢,15
标榜,6
够呛,1
黄,7
三星,85
准,12
三易,1
眼白,2
之差,1
不贵,2
竟不加,2
狗急跳墙,1
我怕,2
少且,1
稀松,2
自取,1
车停,1
.......,8
服务设施,1
640,1
一会儿,8
卧室,6
645,2
围,2
三是,1
服务中心,2
出得,2
呼噜,1
提意见,2
逛得,1
一包,1
奢侈,1
見,2
共通,1
能加,1
算,103
........,1
松口,1
瞟,2
吞,1
肠胃,4
隐隐,1
时不含,1
四五个,1
墙皮,1
算是,31
三者,2
最低温度,1
第,23
能力,7
再也不会,34
时酒,1
Ｒ,1
加盖,1
侄子,1
婚宴,4
小巫见大巫,1
給,2
花园,5
加盟,3
长途汽车站,3
一掉,2
惦记着,1
心里,12
一半,18
全家,6
提前结束,2
加湿器,1
接团,1
床前,1
问心无愧,2
票据,1
不伦不类,1
一单,1
满脸,1
如包,1
标上,1
会议,19
很闹,3
以,68
节约用水,1
景德镇,4
递烟,1
很闷,1
会订,1
显著,6
消费水平,1
迫降,2
免费听,1
楼之分,1
我入,3
星星,2
天玺,1
不象,5
突发事件,3
一厅,5
单子,4
生意,15
234,1
自动,19
自助,26
深切,1
讨饭,1
难眠,2
三四次,4
不顾,1
逃跑,3
餐卷,2
标价,6
铁定,2
想得美,1
深刻,7
梳妆台,1
星是,2
强劲,2
话语,2
挺暗,1
擋,1
大多数,5
小虫子,1
住此,1
坑坑洼洼,1
报警,14
一双,7
三月,1
卡者,2
入主,8
紧靠,5
楼梯,12
蜡烛,1
租房,1
一口,5
特重,1
很长,3
一句,41
一只,16
停车费,11
眼睛,10
诸君,1
一台,10
误导,11
两间房,9
一号,4
当心,1
变味,1
亏待,1
真正,11
吓跑,2
出库,1
笑脸相迎,2
10060,2
櫃台,2
定位,1
网点,1
一個,7
踏入,2
香皂,3
名副其实,1
房門,2
一倍,3
决不可,2
卡壳,1
协调会,1
多付,9
人来人往,2
碗,8
主干道,1
电机,1
电源插座,1
隔离,1
象见,1
不过,157
华阳,2
河西,1
我拔,1
只会,4
万杰,1
预约,5
栏杆,2
姓李,2
可不是,5
按时,2
鱼香肉丝,2
可耻,1
我成,2
举办,1
边,12
游,1
不进,1
真替,1
碰撞,1
該店,2
微波炉,1
强力,4
最低,6
圈套,2
告戒,1
027,1
我报,2
王家,2
省得,2
忙,10
不达,1
请求,3
优质,11
内在,1
不思上,1
星时,1
床具,2
瞥见,1
重蹈,1
弄湿,2
只住,11
在意,5
多人,2
过问,2
马路边,4
道个,1
内地,2
{,5
好几圈,1
车到,4
出差,41
要个,1
多么,6
709,1
霉,3
不转,1
夸张,12
700,2
厂房,3
鞭策,1
业余,6
放亮,1
长约,1
９,9
梅苑,1
横条,1
日想,1
次,29
困扰,3
斩客,3
接待员,2
銹住,2
務員,2
等到,21
没笑,1
打消,2
丑陋,2
招全,1
50.00,2
优越,2
凉菜,1
反过来,3
挺旧,3
大大,1
生才,1
生手,1
闪闪,2
间房,8
专题,1
多个,3
三圈,1
千呼万唤,1
上上下下,5
住国,1
臭虫,2
times,4
冷得,7
可能,138
多为,1
挨,6
携程网,28
领餐,1
锁,9
春圆,1
下车,4
爆,1
彻底,7
引诱,1
3219,1
痛心,1
飞下,1
床上用品,11
房要,3
下载,1
此起彼伏,1
问黎,1
地,80
停放,3
我換,1
四人到,1
这类,3
旅社,5
但此,3
说开,1
没窗,3
相距,2
层楼,2
方让,2
一元,5
担负起,1
车号,1
划等号,1
目标,1
用个,2
糨糊,2
R,1
紧闭,1
拐弯,1
三方,3
脸蛋,2
太殘,2
其内,1
脚垫,1
北京电视台,1
地问,1
石,1
早上,128
没电,2
接听,5
日历,2
橙汁,5
双语,2
一再,4
多作,1
值得称赞,3
大巴,10
多余,4
应用,1
2.2,1
COTTO,1
选址,1
批准,1
机械,1
无房,1
简约,1
强悍,1
强烈呼吁,1
交易会,1
好评,4
出台,2
都还没,2
按摩,30
吵,111
五一节,3
so,2
亚泰,5
警服,2
招待所,110
建议,207
马桶盖,3
风挡,1
一凉,1
上拉上,1
290,1
从,193
建设,5
套,5
井冈山,1
敞着,2
泛海,1
下边,2
停时,1
早些,1
變為,1
汽车站,6
天目湖,2
概念,3
用于,3
业主,2
一出,6
眼界,4
为证,1
小病,1
香炉,4
走道,6
水果,31
＂,22
之大,1
必須,1
不解,3
那本,2
北京东方,1
客观事实,2
加班,1
大约,25
个路,2
崖,2
友人,2
度假型,1
不是太好,3
南戴河,5
不见,20
上方,1
之处,2
(,132
已作,1
五分钟,2
之外,8
算远,1
日晚,17
果篮,2
之多,4
礼貌,25
52,2
忠实,7
变冷,2
之夜,1
打死,9
罢工,1
布局,9
偕程,1
青年文明,2
那条,5
借用,3
回答,54
很远,6
冷天,2
纯一,1
120,6
提及,1
123,1
126,1
蒸汽,2
做法,11
每间,11
这笔,2
见面,2
不要,237
墨宝,1
上时,2
进线,1
端,2
上旬,1
花点,1
罚,1
紧接着,1
呼市,1
必须,34
接受,45
一人过,1
拿,135
不对劲,1
窄,2
穿衣服,5
破损,3
夸大,1
借鸡生蛋,1
原色,2
江苏,1
规划师,1
等同,1
取暖,3
水有,2
嘎吱,1
昆明,7
非常,491
深圳,15
依然,23
味儿,2
花卷,1
管理,58
电流,1
调和,2
落荒而逃,1
唱,1
创造,4
质量,43
床垫,21
圈椅,4
晚到,5
仅记,1
就定,1
溪边,1
暖气片,2
分钱,1
未到,1
配不上,6
暖和,2
数额,2
day,1
无数,5
key,1
被卧,1
彻底解决,2
一回,3
problem,2
这算,2
就整,1
鉴于,5
发邮件,1
不可思议,8
门卫,15
太气,2
惨,2
IC卡,6
系统,20
无敌,1
撕开,3
水杯,2
び,4
绿色,5
偏高,7
终于,40
找,209
水条,1
岁,5
花灑,3
总台,118
一圆,1
发热量,1
水暖,1
精液,2
两名,2
毫不,5
非得,1
玩意,2
换好,1
另一名,1
第二趟,1
朋友,159
抽水马桶,8
收款,3
绿舟,2
三级片,1
刚洗,1
感覺,3
什刹海,1
不堪入目,1
Ｌ,1
武陵源,1
钱,100
一地,7
晚去,1
一场,2
上大当,1
赚钱,7
太阳岛,1
不耐烦,10
日本,18
但进,1
包小包,3
消毒,12
先,40
笨到,1
九龙,2
洗发液,4
边去,2
豪门,1
一块,18
感觉,444
十二点,7
食材,2
回台灣,1
名人,2
臭臭,1
问新开,1
改口说,2
太好,4
修改,4
日期,2
街头,3
管理员,1
遮挡,3
接待厅,2
塞满,2
金牌,1
拉车,1
不补,1
有香,1
插队,2
韩国,9
选,19
组织,1
引起,6
伴有,4
时问,1
出不来,1
我敢,2
时间,151
接到,25
別家,1
重要,18
慎重,5
返还,2
偶遇,1
不行,49
芙蓉路,1
私密性,2
名义,1
吱,1
市里,4
忍不住,7
重視,1
太浅,1
臭脸,1
助理,4
废话,2
折后,2
宛若,1
立马,9
边区,1
删去,1
鲜虾,2
名为,1
象,49
重视,18
48,2
一阵阵,1
白给,1
很酷,1
直到,24
可比性,2
逃离,1
水景,1
接连不断,1
牵,1
十全十美,2
开了门,4
亏损,1
抵挡,3
44,1
牙刷,12
不该,4
45,9
税务,2
ρ,1
夜晚,9
一同,1
一名,3
施工,27
不说,14
一向,5
—,34
南京路,6
素养,1
多,253
这票,1
平方,10
牵强,4
举足轻重,1
出奇,5
一下子,5
一听,2
\,6
差强人意,2
除尘,2
反倒,2
漫出,2
惊诧,2
敲门,17
私下,1
无果,2
天理,1
败絮,1
不计,2
逃税,2
西楼,7
壶,3
美国式,1
呜呜,2
心眼,2
不让,15
好不好,3
数不清,1
来访,2
260,6
特烂,2
出头,2
先来后到,1
不许,1
来讲,5
信,4
下訂,1
马马虎虎,6
一周,9
平时,10
车回,1
连接,13
花冠,4
家里人,2
小黑,1
仓促,2
平日,4
留意到,1
这种,122
之所以,3
看不见,6
风景,10
下,119
真气,1
商业街,2
颁发,2
木门,1
杂志,1
悔,3
正想,1
变化,5
同去,2
干年,2
太旧,33
我晕,2
管理型,1
偏颇,2
并不大,2
开单,1
kettle,2
丟失,2
登记,52
宋村,2
蒙蔽,1
转乘,4
外边,1
保安人员,3
?,79
对得起,3
贵州省,1
外會,2
三思,7
ps,1
真汗,2
外有,1
压缩,2
发送给,1
控制系统,2
更脏,2
打,175
虫子,4
准备,31
报,7
冒雨,4
那时,1
逗留,1
妥当,1
面海,1
拨,1
其名,1
屋里,8
时隔,2
动辄,1
上来,21
外机,2
沒,22
我昏,2
总评,1
随意性,1
冲得,1
全封闭,2
处处,2
搞脏,3
独立,5
加热,3
开成,2
难熬,2
帖,1
拖拉机,6
预算,2
熟,2
已近,1
整顿,1
变动,1
好差,1
另外,133
大马路,5
选台,1
填满,1
熟视无睹,1
隔音窗,1
热点,2
开房,5
黄山,3
费用,34
系統,1
冷水浴,2
笙歌,1
园林景观,4
溪谷,1
冲忙,1
点点,2
拍桌子,1
带你去,1
营养,2
运营,1
桥,2
加点,1
三合一,1
远距离,1
极次,1
领队,1
话费,2
道理,3
老天,2
已过,1
长廊,1
混,6
年终奖,1
能响,1
第一间,4
这破,1
备用,8
其实不然,1
总共,13
上星,1
鲜血,1
保险箱,7
车场,1
嘴脸,1
1168,2
白粥,6
太潮,1
能否,8
我来,3
毛头,1
理直气壮,7
出声,1
下课,1
奸,1
青苔,1
调羹,1
招呼,7
半年前,1
当即,7
快点,3
居然,282
脚印,2
老头,3
次日,6
烂透,2
有气,1
可取之处,2
stay,5
今后,19
义务,2
干开,1
开拔,1
脸色,8
8006,1
过高,6
床品,1
抬高,2
8003,1
